state,loan_count,total_loan_amount,default_rate
MS,6593,92173700.0,26.12
NE,3591,47921625.0,25.2
AR,10058,135723425.0,24.11
AL,16640,232062625.0,23.64
OK,12291,175137850.0,23.46
LA,15520,221115275.0,23.17
NY,110075,1573354275.0,22.05
NV,20282,279088250.0,21.98
FL,95815,1314572825.0,21.5
IN,21720,304688975.0,21.44
TN,20393,288234175.0,21.42
NM,7374,105021550.0,21.37
SD,2770,37409800.0,21.34
MO,21328,295763525.0,21.34
MD,31295,473138575.0,21.34
NJ,48576,736348875.0,21.12
KY,12868,175609500.0,21.01
PA,45640,640051250.0,20.82
NC,37812,536287125.0,20.79
OH,43935,600586475.0,20.52
ND,1601,23335600.0,20.49
MI,35302,486736100.0,20.31
HI,6763,102588275.0,20.21
VA,38107,583149550.0,19.95
TX,110307,1674091450.0,19.84
MN,24001,335233100.0,19.76
DE,3804,53836725.0,19.72
AK,3194,52592300.0,19.66
AZ,32733,454925125.0,19.65
CA,196805,2886747675.0,19.63
MA,31066,474664225.0,19.08
ID,1689,22928600.0,18.83
GA,43470,633945675.0,18.43
WI,17782,244580150.0,18.37
IL,51858,762927425.0,18.11
RI,5879,80032450.0,17.88
CT,19787,288305050.0,17.39
UT,10045,146295875.0,17.09
MT,3831,51293700.0,16.97
KS,11262,158090050.0,16.76
WY,2926,43946000.0,16.75
SC,16004,226860350.0,16.28
WA,29218,431431450.0,15.79
CO,29722,434949225.0,15.54
WV,4888,68878050.0,15.53
NH,6463,92548950.0,14.58
OR,16415,222096500.0,14.41
VT,2655,35215925.0,13.97
ME,2029,28299475.0,13.85
DC,3485,52769700.0,13.23
